Dataset:     Superconductivty Data
50.6              3 (0.01%)
50.7              6 (0.03%)
50.8              2 (0.01%)
50.9              2 (0.01%)
51.0             35 (0.16%)
51.1              2 (0.01%)
51.2              2 (0.01%)
51.3              3 (0.01%)
51.4              5 (0.02%)
51.5              7 (0.03%)
51.6              2 (0.01%)
51.7              6 (0.03%)
51.8              7 (0.03%)
51.9              2 (0.01%)
52.0             40 (0.19%)
52.1              3 (0.01%)
52.2              4 (0.02%)
52.3              3 (0.01%)
52.4              7 (0.03%)
52.5             10 (0.05%)
52.6              7 (0.03%)
52.7              2 (0.01%)
52.75             1 (0.00%)
52.8              4 (0.02%)
52.9              2 (0.01%)
53.0             43 (0.20%)
53.1              5 (0.02%)
53.2              1 (0.00%)
53.4              2 (0.01%)
53.5              8 (0.04%)
53.56             1 (0.00%)
53.6              5 (0.02%)
53.7              1 (0.00%)
53.75             1 (0.00%)
53.8              2 (0.01%)
53.9              2 (0.01%)
54.0             33 (0.16%)
54.1              7 (0.03%)
54.2              3 (0.01%)
54.3              7 (0.03%)
54.35             1 (0.00%)
54.4              1 (0.00%)
54.5              6 (0.03%)
54.6              2 (0.01%)
54.7              3 (0.01%)
54.8              5 (0.02%)
54.9              5 (0.02%)
55.0             64 (0.30%)
55.1              4 (0.02%)
55.2              4 (0.02%)
55.23             1 (0.00%)
55.28             1 (0.00%)
55.3              4 (0.02%)
55.4              1 (0.00%)
55.5              6 (0.03%)
55.55             1 (0.00%)
55.6              2 (0.01%)
55.63             1 (0.00%)
55.67             1 (0.00%)
55.7              1 (0.00%)
55.8              2 (0.01%)
55.87             1 (0.00%)
55.9              1 (0.00%)
56.0             39 (0.18%)
56.1              5 (0.02%)
56.2              3 (0.01%)
56.25             1 (0.00%)
56.3              4 (0.02%)
56.4              3 (0.01%)
56.5             11 (0.05%)
56.6              3 (0.01%)
56.65             1 (0.00%)
56.7              4 (0.02%)
56.75             1 (0.00%)
56.8              2 (0.01%)
56.9              3 (0.01%)
57.0             27 (0.13%)
57.1              6 (0.03%)
57.2              2 (0.01%)
57.3              2 (0.01%)
57.4              3 (0.01%)
57.45             1 (0.00%)
57.5              8 (0.04%)
57.6              5 (0.02%)
57.7              5 (0.02%)
57.8              1 (0.00%)
57.85             1 (0.00%)
57.9              4 (0.02%)
57.97             1 (0.00%)
58.0             47 (0.22%)
58.1              1 (0.00%)
58.2              3 (0.01%)
58.3              3 (0.01%)
58.4              4 (0.02%)
58.45             1 (0.00%)
58.5              6 (0.03%)
58.7              6 (0.03%)
58.8              5 (0.02%)
58.9              7 (0.03%)
59.0             25 (0.12%)
59.1              5 (0.02%)
59.2              3 (0.01%)
59.3              2 (0.01%)
59.4              4 (0.02%)
59.5              2 (0.01%)
59.53             1 (0.00%)
59.6              1 (0.00%)
59.7              5 (0.02%)
59.8              4 (0.02%)
59.9              3 (0.01%)
60.0             79 (0.37%)
60.1              5 (0.02%)
60.2              2 (0.01%)
60.3              1 (0.00%)
60.4              5 (0.02%)
60.5             11 (0.05%)
60.55             1 (0.00%)
60.6              7 (0.03%)
60.7              3 (0.01%)
60.73             1 (0.00%)
60.8              3 (0.01%)
60.9              2 (0.01%)
61.0             26 (0.12%)
61.1              4 (0.02%)
61.2              1 (0.00%)
61.25             1 (0.00%)
61.3              3 (0.01%)
61.34             1 (0.00%)
61.38             1 (0.00%)
61.4              4 (0.02%)
61.5              8 (0.04%)
61.6              3 (0.01%)
61.7              1 (0.00%)
61.8              1 (0.00%)
61.9              2 (0.01%)
62.0             49 (0.23%)
62.1              4 (0.02%)
62.2              2 (0.01%)
62.25             1 (0.00%)
62.3              2 (0.01%)
62.4              2 (0.01%)
62.5              8 (0.04%)
62.6              4 (0.02%)
62.7              6 (0.03%)
62.8              1 (0.00%)
62.9              2 (0.01%)
62.94             1 (0.00%)
63.0             43 (0.20%)
63.1              6 (0.03%)
63.2              1 (0.00%)
63.3              3 (0.01%)
63.31             1 (0.00%)
63.32             1 (0.00%)
63.38             1 (0.00%)
63.4              1 (0.00%)
63.5             11 (0.05%)
63.58             1 (0.00%)
63.6              6 (0.03%)
63.7              5 (0.02%)
63.75             1 (0.00%)
63.8              5 (0.02%)
63.9              2 (0.01%)
64.0             40 (0.19%)
64.05             1 (0.00%)
64.1              4 (0.02%)
64.2              2 (0.01%)
64.3              5 (0.02%)
64.4              4 (0.02%)
64.5              3 (0.01%)
64.6              6 (0.03%)
64.65             1 (0.00%)
64.7              2 (0.01%)
64.75             2 (0.01%)
64.8              3 (0.01%)
64.9              3 (0.01%)
64.95             1 (0.00%)
65.0             58 (0.27%)
65.1              3 (0.01%)
65.2              1 (0.00%)
65.3              6 (0.03%)
65.36             1 (0.00%)
65.4              2 (0.01%)
65.5              4 (0.02%)
65.6              3 (0.01%)
65.64             1 (0.00%)
65.7              2 (0.01%)
65.8              2 (0.01%)
65.9              4 (0.02%)
66.0             45 (0.21%)
66.1              2 (0.01%)
66.19             1 (0.00%)
66.2              3 (0.01%)
66.3              5 (0.02%)
66.4              1 (0.00%)
66.5              8 (0.04%)
66.6              4 (0.02%)
66.7              2 (0.01%)
66.8              2 (0.01%)
66.9              3 (0.01%)
67.0             38 (0.18%)
67.04             2 (0.01%)
67.1              7 (0.03%)
67.2              3 (0.01%)
67.3              3 (0.01%)
67.4              5 (0.02%)
67.5              8 (0.04%)
67.55             1 (0.00%)
67.6              6 (0.03%)
67.7              3 (0.01%)
67.8              3 (0.01%)
67.9              3 (0.01%)
68.0             51 (0.24%)
68.1              1 (0.00%)
68.15             1 (0.00%)
68.2              8 (0.04%)
68.3              6 (0.03%)
68.35             1 (0.00%)
68.4              2 (0.01%)
68.5              4 (0.02%)
68.55             1 (0.00%)
68.6              6 (0.03%)
68.7              1 (0.00%)
68.75             1 (0.00%)
68.8              8 (0.04%)
68.9              1 (0.00%)
69.0             32 (0.15%)
69.1              6 (0.03%)
69.2              3 (0.01%)
69.3              4 (0.02%)
69.4              5 (0.02%)
69.5              5 (0.02%)
69.7              2 (0.01%)
69.8              1 (0.00%)
70.0             94 (0.44%)
70.1              2 (0.01%)
70.2              2 (0.01%)
70.25             1 (0.00%)
70.3              6 (0.03%)
70.34             1 (0.00%)
70.4              2 (0.01%)
70.5              9 (0.04%)
70.6              6 (0.03%)
70.7              3 (0.01%)
70.78             1 (0.00%)
70.8              8 (0.04%)
70.9              2 (0.01%)
71.0             47 (0.22%)
71.05             1 (0.00%)
71.08             1 (0.00%)
71.1              2 (0.01%)
71.2              3 (0.01%)
71.25             1 (0.00%)
71.3              4 (0.02%)
71.4              1 (0.00%)
71.5             11 (0.05%)
71.6              6 (0.03%)
71.7              2 (0.01%)
71.79             1 (0.00%)
71.8              5 (0.02%)
71.85             1 (0.00%)
71.9              4 (0.02%)
72.0             50 (0.24%)
72.1              5 (0.02%)
72.18             1 (0.00%)
72.2             11 (0.05%)
72.3              3 (0.01%)
72.4              3 (0.01%)
72.5             14 (0.07%)
72.6              4 (0.02%)
72.7              4 (0.02%)
72.85             1 (0.00%)
72.9              8 (0.04%)
73.0             63 (0.30%)
73.1              6 (0.03%)
73.2              7 (0.03%)
73.3              6 (0.03%)
73.4              4 (0.02%)
73.5             15 (0.07%)
73.6              6 (0.03%)
73.62             1 (0.00%)
73.7              5 (0.02%)
73.8              5 (0.02%)
73.9              6 (0.03%)
74.0             61 (0.29%)
74.07             1 (0.00%)
74.1              4 (0.02%)
74.2              2 (0.01%)
74.3              8 (0.04%)
74.4              3 (0.01%)
74.5              8 (0.04%)
74.6              8 (0.04%)
74.7              4 (0.02%)
74.8              2 (0.01%)
74.9              1 (0.00%)
75.0             87 (0.41%)
75.1              9 (0.04%)
75.18             1 (0.00%)
75.2              7 (0.03%)
75.3              3 (0.01%)
75.4              1 (0.00%)
75.455            1 (0.00%)
75.5              4 (0.02%)
75.6              6 (0.03%)
75.7              2 (0.01%)
75.75             1 (0.00%)
75.8              5 (0.02%)
75.9              1 (0.00%)
75.92             1 (0.00%)
75.985            1 (0.00%)
76.0             69 (0.32%)
76.1              9 (0.04%)
76.15             1 (0.00%)
76.2              5 (0.02%)
76.3              8 (0.04%)
76.35             1 (0.00%)
76.4              6 (0.03%)
76.5              8 (0.04%)
76.6              4 (0.02%)
76.67             1 (0.00%)
76.7              3 (0.01%)
76.8              6 (0.03%)
76.9              4 (0.02%)
76.91             1 (0.00%)
77.0             57 (0.27%)
77.05             1 (0.00%)
77.1              6 (0.03%)
77.2              4 (0.02%)
77.3              7 (0.03%)
77.4              5 (0.02%)
77.5             14 (0.07%)
77.6              4 (0.02%)
77.7              6 (0.03%)
77.75             1 (0.00%)
77.8              7 (0.03%)
77.9              4 (0.02%)
78.0             94 (0.44%)
78.1              4 (0.02%)
78.2              6 (0.03%)
78.21             1 (0.00%)
78.3              3 (0.01%)
78.35             3 (0.01%)
78.4              6 (0.03%)
78.49             1 (0.00%)
78.5             21 (0.10%)
78.6              8 (0.04%)
78.7              2 (0.01%)
78.8              8 (0.04%)
78.9              2 (0.01%)
79.0             56 (0.26%)
79.1              6 (0.03%)
79.2             10 (0.05%)
79.24             1 (0.00%)
79.3              6 (0.03%)
79.4              4 (0.02%)
79.45             1 (0.00%)
79.5             18 (0.08%)
79.6              5 (0.02%)
79.7              7 (0.03%)
79.8              8 (0.04%)
79.89             1 (0.00%)
79.9              5 (0.02%)
80.0            143 (0.67%)
80.05             1 (0.00%)
80.1              4 (0.02%)
80.2              7 (0.03%)
80.3              6 (0.03%)
80.31             1 (0.00%)
80.4              4 (0.02%)
80.5             16 (0.08%)
80.6              7 (0.03%)
80.7              5 (0.02%)
80.8              5 (0.02%)
80.89             1 (0.00%)
80.9              4 (0.02%)
80.97             1 (0.00%)
81.0             62 (0.29%)
81.1              3 (0.01%)
81.2              5 (0.02%)
81.27             1 (0.00%)
81.3              6 (0.03%)
81.4              9 (0.04%)
81.5             14 (0.07%)
81.6              4 (0.02%)
81.7              4 (0.02%)
81.8             13 (0.06%)
81.9              4 (0.02%)
82.0             93 (0.44%)
82.1              4 (0.02%)
82.2              7 (0.03%)
82.3              2 (0.01%)
82.34             1 (0.00%)
82.4              8 (0.04%)
82.5             16 (0.08%)
82.6              6 (0.03%)
82.7              5 (0.02%)
82.8              4 (0.02%)
82.9              7 (0.03%)
83.0             60 (0.28%)
83.1              3 (0.01%)
83.15             2 (0.01%)
83.2              6 (0.03%)
83.25             1 (0.00%)
83.3             11 (0.05%)
83.35             1 (0.00%)
83.4              2 (0.01%)
83.5             18 (0.08%)
83.6              6 (0.03%)
83.65             1 (0.00%)
83.7              4 (0.02%)
83.71             1 (0.00%)
83.76             1 (0.00%)
83.79             1 (0.00%)
83.8              4 (0.02%)
83.9              4 (0.02%)
84.0             67 (0.32%)
84.1              7 (0.03%)
84.11             1 (0.00%)
84.2              8 (0.04%)
84.3              9 (0.04%)
84.4              5 (0.02%)
84.5             19 (0.09%)
84.6              5 (0.02%)
84.7              6 (0.03%)
84.8             10 (0.05%)
84.82             1 (0.00%)
84.9              1 (0.00%)
85.0             83 (0.39%)
85.04             1 (0.00%)
85.05             2 (0.01%)
85.1              7 (0.03%)
85.2              4 (0.02%)
85.23             1 (0.00%)
85.3              1 (0.00%)
85.34             1 (0.00%)
85.4              7 (0.03%)
85.49             1 (0.00%)
85.5             20 (0.09%)
85.6              5 (0.02%)
85.65             1 (0.00%)
85.7              2 (0.01%)
85.8              6 (0.03%)
85.9              5 (0.02%)
85.95             1 (0.00%)
86.0             93 (0.44%)
86.1              8 (0.04%)
86.18             1 (0.00%)
86.2              7 (0.03%)
86.3             16 (0.08%)
86.35             1 (0.00%)
86.4              9 (0.04%)
86.5             12 (0.06%)
86.6              4 (0.02%)
86.7              9 (0.04%)
86.8              6 (0.03%)
86.9              8 (0.04%)
87.0             66 (0.31%)
87.05             1 (0.00%)
87.1              9 (0.04%)
87.2              5 (0.02%)
87.3              4 (0.02%)
87.4              2 (0.01%)
87.5             16 (0.08%)
87.56             1 (0.00%)
87.6              7 (0.03%)
87.63             1 (0.00%)
87.65             1 (0.00%)
87.7              5 (0.02%)
87.8             13 (0.06%)
87.9              8 (0.04%)
87.99             1 (0.00%)
88.0             76 (0.36%)
88.1             11 (0.05%)
88.2              6 (0.03%)
88.259            1 (0.00%)
88.3             10 (0.05%)
88.4              4 (0.02%)
88.5             18 (0.08%)
88.55             1 (0.00%)
88.6              9 (0.04%)
88.65             1 (0.00%)
88.67             1 (0.00%)
88.7             10 (0.05%)
88.75             1 (0.00%)
88.8              7 (0.03%)
88.85             1 (0.00%)
88.9              8 (0.04%)
88.91             1 (0.00%)
88.95             1 (0.00%)
89.0             62 (0.29%)
89.1             13 (0.06%)
89.2              9 (0.04%)
89.21             1 (0.00%)
89.3              9 (0.04%)
89.35             1 (0.00%)
89.37             1 (0.00%)
89.4             11 (0.05%)
89.43             1 (0.00%)
89.5             26 (0.12%)
89.6             10 (0.05%)
89.66             1 (0.00%)
89.7             11 (0.05%)
89.75             1 (0.00%)
89.8             15 (0.07%)
89.88             2 (0.01%)
89.9             12 (0.06%)
89.93             1 (0.00%)
89.935            1 (0.00%)
90.0            122 (0.57%)
90.1              8 (0.04%)
90.15             1 (0.00%)
90.2              9 (0.04%)
90.25             2 (0.01%)
90.3              7 (0.03%)
90.35             1 (0.00%)
90.36             2 (0.01%)
90.38             1 (0.00%)
90.4             13 (0.06%)
90.5             21 (0.10%)
90.52             1 (0.00%)
90.53             2 (0.01%)
90.55             1 (0.00%)
90.565            1 (0.00%)
90.58             1 (0.00%)
90.6              8 (0.04%)
90.7             12 (0.06%)
90.71             1 (0.00%)
90.75             2 (0.01%)
90.8             11 (0.05%)
90.815            1 (0.00%)
90.85             2 (0.01%)
90.88             1 (0.00%)
90.9             12 (0.06%)
90.95             1 (0.00%)
91.0             73 (0.34%)
91.01             1 (0.00%)
91.05             2 (0.01%)
91.06             1 (0.00%)
91.075            1 (0.00%)
91.09             1 (0.00%)
91.1             17 (0.08%)
91.11             1 (0.00%)
91.15             1 (0.00%)
91.18             1 (0.00%)
91.19             1 (0.00%)
91.2             12 (0.06%)
91.23             1 (0.00%)
91.24             1 (0.00%)
91.25             3 (0.01%)
91.26             1 (0.00%)
91.3             13 (0.06%)
91.33             1 (0.00%)
91.35             1 (0.00%)
91.4             18 (0.08%)
91.47             1 (0.00%)
91.5             33 (0.16%)
91.58             1 (0.00%)
91.6             12 (0.06%)
91.65             1 (0.00%)
91.7             14 (0.07%)
91.78             1 (0.00%)
91.8             20 (0.09%)
91.85             2 (0.01%)
91.9              6 (0.03%)
91.95             2 (0.01%)
92.0            101 (0.48%)
92.01             2 (0.01%)
92.03             1 (0.00%)
92.05             2 (0.01%)
92.1             12 (0.06%)
92.11             1 (0.00%)
92.12             1 (0.00%)
92.15             1 (0.00%)
92.17             1 (0.00%)
92.2             13 (0.06%)
92.3             11 (0.05%)
92.33             1 (0.00%)
92.35             1 (0.00%)
92.4             13 (0.06%)
92.41             1 (0.00%)
92.42             1 (0.00%)
92.45             1 (0.00%)
92.5             19 (0.09%)
92.55             1 (0.00%)
92.6             10 (0.05%)
92.65             1 (0.00%)
92.7              9 (0.04%)
92.74             1 (0.00%)
92.8             13 (0.06%)
92.81             1 (0.00%)
92.83             1 (0.00%)
92.842            1 (0.00%)
92.85             2 (0.01%)
92.87             1 (0.00%)
92.9              7 (0.03%)
93.0             59 (0.28%)
93.05             2 (0.01%)
93.1             11 (0.05%)
93.15             1 (0.00%)
93.2             16 (0.08%)
93.3              7 (0.03%)
93.35             1 (0.00%)
93.4             12 (0.06%)
93.45             1 (0.00%)
93.5             21 (0.10%)
93.6             13 (0.06%)
93.65             1 (0.00%)
93.7              4 (0.02%)
93.75             2 (0.01%)
93.8              9 (0.04%)
93.83             1 (0.00%)
93.9              4 (0.02%)
94.0             46 (0.22%)
94.1              4 (0.02%)
94.2             12 (0.06%)
94.3              3 (0.01%)
94.4              3 (0.01%)
94.5             15 (0.07%)
94.7              2 (0.01%)
94.77             1 (0.00%)
94.8              4 (0.02%)
94.9              1 (0.00%)
95.0             39 (0.18%)
95.1              5 (0.02%)
95.2              4 (0.02%)
95.3              5 (0.02%)
95.4              1 (0.00%)
95.5             11 (0.05%)
95.56             1 (0.00%)
95.6              1 (0.00%)
95.65             1 (0.00%)
95.7              1 (0.00%)
95.8              3 (0.01%)
95.85             1 (0.00%)
95.9              1 (0.00%)
96.0             34 (0.16%)
96.1              4 (0.02%)
96.2              2 (0.01%)
96.3              3 (0.01%)
96.4              1 (0.00%)
96.5              3 (0.01%)
96.6              1 (0.00%)
96.663            1 (0.00%)
96.8              3 (0.01%)
96.9              2 (0.01%)
97.0             21 (0.10%)
97.1              2 (0.01%)
97.2              1 (0.00%)
97.4              2 (0.01%)
97.5              1 (0.00%)
97.6              2 (0.01%)
97.9              2 (0.01%)
98.0             23 (0.11%)
98.3              1 (0.00%)
98.4              1 (0.00%)
98.45             1 (0.00%)
98.5              4 (0.02%)
98.6              1 (0.00%)
98.7              1 (0.00%)
99.0             11 (0.05%)
99.25             1 (0.00%)
99.3              2 (0.01%)
99.7              1 (0.00%)
99.8              1 (0.00%)
100.0            34 (0.16%)
100.1             1 (0.00%)
100.25            1 (0.00%)
100.31            1 (0.00%)
100.4             1 (0.00%)
100.5             1 (0.00%)
101.0             6 (0.03%)
101.1             1 (0.00%)
101.3             1 (0.00%)
101.5             1 (0.00%)
101.7             1 (0.00%)
102.0            13 (0.06%)
102.3             1 (0.00%)
102.4             1 (0.00%)
102.5             5 (0.02%)
102.7             1 (0.00%)
102.75            1 (0.00%)
102.8             1 (0.00%)
102.98            2 (0.01%)
103.0            15 (0.07%)
103.03            1 (0.00%)
103.1             1 (0.00%)
103.25            1 (0.00%)
103.5             2 (0.01%)
103.7             2 (0.01%)
103.8             1 (0.00%)
104.0            14 (0.07%)
104.4             2 (0.01%)
104.44            1 (0.00%)
104.5             1 (0.00%)
104.8             2 (0.01%)
104.95            1 (0.00%)
105.0            26 (0.12%)
105.1             8 (0.04%)
105.2             1 (0.00%)
105.3             3 (0.01%)
105.5             2 (0.01%)
105.51            1 (0.00%)
105.55            1 (0.00%)
105.6             1 (0.00%)
105.7             2 (0.01%)
105.8             2 (0.01%)
106.0            18 (0.08%)
106.01            1 (0.00%)
106.1             1 (0.00%)
106.2             1 (0.00%)
106.3             1 (0.00%)
106.35            1 (0.00%)
106.5             6 (0.03%)
106.6             3 (0.01%)
106.7             2 (0.01%)
106.8             2 (0.01%)
106.9             2 (0.01%)
106.95            1 (0.00%)
107.0            32 (0.15%)
107.05            1 (0.00%)
107.1             2 (0.01%)
107.17            1 (0.00%)
107.2             1 (0.00%)
107.25            1 (0.00%)
107.3             2 (0.01%)
107.5             6 (0.03%)
107.6             3 (0.01%)
107.7             1 (0.00%)
107.75            1 (0.00%)
107.995           1 (0.00%)
108.0            26 (0.12%)
108.1             1 (0.00%)
108.2             1 (0.00%)
108.4             2 (0.01%)
108.5             6 (0.03%)
108.55            2 (0.01%)
108.6             1 (0.00%)
108.65            1 (0.00%)
108.7             2 (0.01%)
108.9             2 (0.01%)
108.95            2 (0.01%)
109.0            17 (0.08%)
109.05            1 (0.00%)
109.3             1 (0.00%)
109.5             1 (0.00%)
109.6             2 (0.01%)
109.8             1 (0.00%)
109.9             1 (0.00%)
110.0            53 (0.25%)
110.3             1 (0.00%)
110.4             1 (0.00%)
110.5             4 (0.02%)
110.7             1 (0.00%)
110.8             2 (0.01%)
110.85            1 (0.00%)
110.9             1 (0.00%)
111.0            14 (0.07%)
111.5             4 (0.02%)
111.7             1 (0.00%)
111.98            1 (0.00%)
112.0            15 (0.07%)
112.1             1 (0.00%)
112.2             1 (0.00%)
112.5             1 (0.00%)
113.0            12 (0.06%)
113.1             1 (0.00%)
113.3             1 (0.00%)
113.4             1 (0.00%)
113.5             2 (0.01%)
114.0            11 (0.05%)
114.1             2 (0.01%)
114.3             1 (0.00%)
114.7             1 (0.00%)
115.0            19 (0.09%)
115.1             1 (0.00%)
115.3             1 (0.00%)
115.5             2 (0.01%)
115.7             1 (0.00%)
115.9             1 (0.00%)
116.0            16 (0.08%)
116.3             3 (0.01%)
116.4             1 (0.00%)
116.5             1 (0.00%)
116.6             2 (0.01%)
116.7             1 (0.00%)
116.8             1 (0.00%)
117.0            15 (0.07%)
117.1             1 (0.00%)
117.2             2 (0.01%)
117.5             4 (0.02%)
117.6             1 (0.00%)
117.65            1 (0.00%)
118.0            17 (0.08%)
118.5             3 (0.01%)
119.0             9 (0.04%)
119.6             1 (0.00%)
119.8             1 (0.00%)
119.95            1 (0.00%)
120.0            22 (0.10%)
120.2             2 (0.01%)
120.5             1 (0.00%)
120.6             2 (0.01%)
121.0             8 (0.04%)
121.3             1 (0.00%)
121.6             1 (0.00%)
122.0             9 (0.04%)
122.1             1 (0.00%)
122.2             1 (0.00%)
122.5             4 (0.02%)
123.0             8 (0.04%)
123.4             1 (0.00%)
123.5             4 (0.02%)
123.6             1 (0.00%)
124.0            11 (0.05%)
124.5             1 (0.00%)
124.9             1 (0.00%)
125.0             9 (0.04%)
125.2             1 (0.00%)
125.5             1 (0.00%)
126.0             6 (0.03%)
126.2             1 (0.00%)
126.6             1 (0.00%)
126.8             1 (0.00%)
126.9             1 (0.00%)
127.0            11 (0.05%)
127.4             1 (0.00%)
127.8             1 (0.00%)
128.0            10 (0.05%)
128.2             1 (0.00%)
128.4             3 (0.01%)
128.5             3 (0.01%)
128.7             1 (0.00%)
128.8             2 (0.01%)
129.0             4 (0.02%)
130.0            14 (0.07%)
130.1             1 (0.00%)
130.3             1 (0.00%)
130.9             2 (0.01%)
131.0             3 (0.01%)
131.3             1 (0.00%)
131.4             1 (0.00%)
131.5             2 (0.01%)
132.0            13 (0.06%)
132.25            1 (0.00%)
132.5             1 (0.00%)
132.52            1 (0.00%)
132.6             2 (0.01%)
132.62            1 (0.00%)
132.7             1 (0.00%)
132.72            1 (0.00%)
132.9             3 (0.01%)
132.92            1 (0.00%)
133.0             9 (0.04%)
133.12            2 (0.01%)
133.2             1 (0.00%)
133.4             1 (0.00%)
133.5             4 (0.02%)
133.6             1 (0.00%)
133.9             1 (0.00%)
134.0            10 (0.05%)
134.2             1 (0.00%)
134.5             2 (0.01%)
134.7             1 (0.00%)
135.0             6 (0.03%)
135.4             1 (0.00%)
135.5             1 (0.00%)
135.7             1 (0.00%)
135.8             1 (0.00%)
136.0             2 (0.01%)
137.4             1 (0.00%)
143.0             2 (0.01%)
185.0             1 (0.00%)
