Dataset:     Combined Cycle Power Plant
451.33            1 (0.01%)
451.35            1 (0.01%)
451.37            2 (0.02%)
451.38            4 (0.04%)
451.39            1 (0.01%)
451.4             2 (0.02%)
451.41            3 (0.03%)
451.42            3 (0.03%)
451.43            1 (0.01%)
451.44            4 (0.04%)
451.45            1 (0.01%)
451.46            1 (0.01%)
451.47            1 (0.01%)
451.49            2 (0.02%)
451.5             2 (0.02%)
451.51            1 (0.01%)
451.52            1 (0.01%)
451.58            1 (0.01%)
451.59            1 (0.01%)
451.62            2 (0.02%)
451.63            1 (0.01%)
451.64            3 (0.03%)
451.66            1 (0.01%)
451.67            3 (0.03%)
451.69            1 (0.01%)
451.7             2 (0.02%)
451.71            1 (0.01%)
451.74            2 (0.02%)
451.75            2 (0.02%)
451.76            1 (0.01%)
451.77            1 (0.01%)
451.78            1 (0.01%)
451.79            2 (0.02%)
451.8             1 (0.01%)
451.81            2 (0.02%)
451.82            1 (0.01%)
451.84            2 (0.02%)
451.85            1 (0.01%)
451.86            3 (0.03%)
451.87            3 (0.03%)
451.88            2 (0.02%)
451.89            2 (0.02%)
451.9             1 (0.01%)
451.92            1 (0.01%)
451.93            3 (0.03%)
451.94            2 (0.02%)
451.95            5 (0.05%)
451.96            3 (0.03%)
451.97            3 (0.03%)
451.98            1 (0.01%)
451.99            1 (0.01%)
452.0             3 (0.03%)
452.01            1 (0.01%)
452.02            2 (0.02%)
452.03            4 (0.04%)
452.04            1 (0.01%)
452.05            1 (0.01%)
452.06            2 (0.02%)
452.07            1 (0.01%)
452.08            1 (0.01%)
452.09            1 (0.01%)
452.1             2 (0.02%)
452.11            1 (0.01%)
452.12            1 (0.01%)
452.13            1 (0.01%)
452.15            1 (0.01%)
452.16            1 (0.01%)
452.17            1 (0.01%)
452.18            1 (0.01%)
452.19            1 (0.01%)
452.2             2 (0.02%)
452.21            2 (0.02%)
452.24            1 (0.01%)
452.26            1 (0.01%)
452.27            1 (0.01%)
452.28            2 (0.02%)
452.29            1 (0.01%)
452.3             2 (0.02%)
452.31            3 (0.03%)
452.32            1 (0.01%)
452.33            3 (0.03%)
452.34            1 (0.01%)
452.37            1 (0.01%)
452.38            1 (0.01%)
452.39            2 (0.02%)
452.41            3 (0.03%)
452.42            1 (0.01%)
452.43            1 (0.01%)
452.45            1 (0.01%)
452.46            1 (0.01%)
452.47            1 (0.01%)
452.48            1 (0.01%)
452.49            1 (0.01%)
452.5             4 (0.04%)
452.51            1 (0.01%)
452.52            3 (0.03%)
452.53            1 (0.01%)
452.55            2 (0.02%)
452.56            4 (0.04%)
452.57            3 (0.03%)
452.58            1 (0.01%)
452.59            1 (0.01%)
452.6             2 (0.02%)
452.64            2 (0.02%)
452.65            2 (0.02%)
452.66            3 (0.03%)
452.67            1 (0.01%)
452.68            2 (0.02%)
452.7             2 (0.02%)
452.71            3 (0.03%)
452.73            2 (0.02%)
452.75            2 (0.02%)
452.76            1 (0.01%)
452.77            3 (0.03%)
452.79            1 (0.01%)
452.8             2 (0.02%)
452.82            6 (0.06%)
452.83            1 (0.01%)
452.84            4 (0.04%)
452.85            3 (0.03%)
452.86            2 (0.02%)
452.89            3 (0.03%)
452.91            1 (0.01%)
452.93            1 (0.01%)
452.94            4 (0.04%)
452.95            1 (0.01%)
452.96            1 (0.01%)
452.99            1 (0.01%)
453.0             1 (0.01%)
453.01            1 (0.01%)
453.02            4 (0.04%)
453.03            2 (0.02%)
453.05            2 (0.02%)
453.08            3 (0.03%)
453.09            3 (0.03%)
453.1             1 (0.01%)
453.12            2 (0.02%)
453.13            2 (0.02%)
453.15            1 (0.01%)
453.16            1 (0.01%)
453.17            1 (0.01%)
453.18            1 (0.01%)
453.19            2 (0.02%)
453.2             4 (0.04%)
453.22            2 (0.02%)
453.24            2 (0.02%)
453.25            1 (0.01%)
453.26            2 (0.02%)
453.27            3 (0.03%)
453.28            3 (0.03%)
453.29            4 (0.04%)
453.3             2 (0.02%)
453.31            2 (0.02%)
453.32            1 (0.01%)
453.33            2 (0.02%)
453.34            2 (0.02%)
453.35            1 (0.01%)
453.36            2 (0.02%)
453.37            1 (0.01%)
453.38            3 (0.03%)
453.39            3 (0.03%)
453.4             3 (0.03%)
453.42            1 (0.01%)
453.44            1 (0.01%)
453.45            3 (0.03%)
453.46            1 (0.01%)
453.47            4 (0.04%)
453.49            2 (0.02%)
453.5             3 (0.03%)
453.54            4 (0.04%)
453.55            2 (0.02%)
453.56            1 (0.01%)
453.58            2 (0.02%)
453.6             1 (0.01%)
453.62            2 (0.02%)
453.64            1 (0.01%)
453.66            2 (0.02%)
453.67            1 (0.01%)
453.72            1 (0.01%)
453.74            1 (0.01%)
453.76            2 (0.02%)
453.77            2 (0.02%)
453.78            1 (0.01%)
453.79            1 (0.01%)
453.8             3 (0.03%)
453.81            1 (0.01%)
453.83            2 (0.02%)
453.84            2 (0.02%)
453.86            3 (0.03%)
453.87            2 (0.02%)
453.88            1 (0.01%)
453.89            1 (0.01%)
453.9             1 (0.01%)
453.92            1 (0.01%)
453.94            4 (0.04%)
453.95            1 (0.01%)
453.96            5 (0.05%)
453.99            5 (0.05%)
454.01            2 (0.02%)
454.02            3 (0.03%)
454.03            1 (0.01%)
454.04            1 (0.01%)
454.05            1 (0.01%)
454.06            4 (0.04%)
454.09            1 (0.01%)
454.1             1 (0.01%)
454.11            1 (0.01%)
454.12            1 (0.01%)
454.13            1 (0.01%)
454.14            4 (0.04%)
454.15            3 (0.03%)
454.16            3 (0.03%)
454.18            2 (0.02%)
454.19            1 (0.01%)
454.2             2 (0.02%)
454.21            2 (0.02%)
454.22            1 (0.01%)
454.23            3 (0.03%)
454.25            4 (0.04%)
454.26            4 (0.04%)
454.28            2 (0.02%)
454.29            3 (0.03%)
454.32            2 (0.02%)
454.34            1 (0.01%)
454.35            3 (0.03%)
454.36            2 (0.02%)
454.37            2 (0.02%)
454.39            2 (0.02%)
454.4             3 (0.03%)
454.41            2 (0.02%)
454.42            1 (0.01%)
454.43            1 (0.01%)
454.44            2 (0.02%)
454.45            1 (0.01%)
454.46            2 (0.02%)
454.47            4 (0.04%)
454.48            1 (0.01%)
454.5             3 (0.03%)
454.51            2 (0.02%)
454.53            1 (0.01%)
454.54            2 (0.02%)
454.57            1 (0.01%)
454.58            1 (0.01%)
454.59            4 (0.04%)
454.6             1 (0.01%)
454.62            3 (0.03%)
454.63            1 (0.01%)
454.64            2 (0.02%)
454.65            1 (0.01%)
454.66            2 (0.02%)
454.67            3 (0.03%)
454.68            1 (0.01%)
454.69            1 (0.01%)
454.71            1 (0.01%)
454.72            3 (0.03%)
454.74            2 (0.02%)
454.75            1 (0.01%)
454.76            1 (0.01%)
454.78            2 (0.02%)
454.79            1 (0.01%)
454.84            1 (0.01%)
454.85            2 (0.02%)
454.86            3 (0.03%)
454.87            1 (0.01%)
454.88            4 (0.04%)
454.89            2 (0.02%)
454.9             1 (0.01%)
454.92            1 (0.01%)
454.94            2 (0.02%)
454.97            2 (0.02%)
454.98            1 (0.01%)
454.99            2 (0.02%)
455.01            1 (0.01%)
455.02            1 (0.01%)
455.04            1 (0.01%)
455.05            1 (0.01%)
455.06            1 (0.01%)
455.07            2 (0.02%)
455.09            1 (0.01%)
455.1             1 (0.01%)
455.11            2 (0.02%)
455.12            1 (0.01%)
455.13            3 (0.03%)
455.14            2 (0.02%)
455.15            2 (0.02%)
455.16            1 (0.01%)
455.17            1 (0.01%)
455.18            1 (0.01%)
455.19            1 (0.01%)
455.2             3 (0.03%)
455.21            1 (0.01%)
455.22            3 (0.03%)
455.23            1 (0.01%)
455.24            3 (0.03%)
455.25            3 (0.03%)
455.27            1 (0.01%)
455.28            2 (0.02%)
455.29            3 (0.03%)
455.3             1 (0.01%)
455.31            1 (0.01%)
455.32            2 (0.02%)
455.33            1 (0.01%)
455.34            2 (0.02%)
455.35            1 (0.01%)
455.37            2 (0.02%)
455.38            1 (0.01%)
455.39            1 (0.01%)
455.4             1 (0.01%)
455.41            1 (0.01%)
455.42            2 (0.02%)
455.44            1 (0.01%)
455.45            1 (0.01%)
455.48            1 (0.01%)
455.49            1 (0.01%)
455.5             4 (0.04%)
455.51            1 (0.01%)
455.52            2 (0.02%)
455.53            2 (0.02%)
455.54            1 (0.01%)
455.55            1 (0.01%)
455.56            1 (0.01%)
455.57            3 (0.03%)
455.58            2 (0.02%)
455.59            1 (0.01%)
455.6             1 (0.01%)
455.61            1 (0.01%)
455.63            2 (0.02%)
455.64            1 (0.01%)
455.66            2 (0.02%)
455.68            1 (0.01%)
455.69            2 (0.02%)
455.7             2 (0.02%)
455.71            3 (0.03%)
455.72            3 (0.03%)
455.75            3 (0.03%)
455.76            2 (0.02%)
455.79            2 (0.02%)
455.8             1 (0.01%)
455.81            1 (0.01%)
455.82            2 (0.02%)
455.83            1 (0.01%)
455.85            3 (0.03%)
455.86            4 (0.04%)
455.87            1 (0.01%)
455.88            2 (0.02%)
455.91            1 (0.01%)
455.93            2 (0.02%)
455.94            1 (0.01%)
455.95            1 (0.01%)
455.96            1 (0.01%)
455.97            1 (0.01%)
455.99            1 (0.01%)
456.01            1 (0.01%)
456.02            2 (0.02%)
456.03            2 (0.02%)
456.04            3 (0.03%)
456.06            1 (0.01%)
456.07            3 (0.03%)
456.08            3 (0.03%)
456.09            1 (0.01%)
456.11            3 (0.03%)
456.12            1 (0.01%)
456.13            1 (0.01%)
456.16            1 (0.01%)
456.17            1 (0.01%)
456.18            5 (0.05%)
456.2             2 (0.02%)
456.21            1 (0.01%)
456.24            1 (0.01%)
456.25            3 (0.03%)
456.27            1 (0.01%)
456.28            2 (0.02%)
456.29            3 (0.03%)
456.3             1 (0.01%)
456.31            2 (0.02%)
456.32            2 (0.02%)
456.33            2 (0.02%)
456.34            1 (0.01%)
456.35            1 (0.01%)
456.36            2 (0.02%)
456.37            1 (0.01%)
456.4             3 (0.03%)
456.41            2 (0.02%)
456.42            1 (0.01%)
456.44            2 (0.02%)
456.48            1 (0.01%)
456.49            4 (0.04%)
456.5             1 (0.01%)
456.52            1 (0.01%)
456.53            1 (0.01%)
456.54            2 (0.02%)
456.55            3 (0.03%)
456.56            2 (0.02%)
456.57            3 (0.03%)
456.58            1 (0.01%)
456.59            1 (0.01%)
456.61            2 (0.02%)
456.62            2 (0.02%)
456.63            1 (0.01%)
456.64            2 (0.02%)
456.65            1 (0.01%)
456.68            1 (0.01%)
456.69            1 (0.01%)
456.7             2 (0.02%)
456.71            2 (0.02%)
456.72            2 (0.02%)
456.75            1 (0.01%)
456.77            2 (0.02%)
456.78            1 (0.01%)
456.79            1 (0.01%)
456.8             1 (0.01%)
456.81            1 (0.01%)
456.83            1 (0.01%)
456.84            3 (0.03%)
456.85            2 (0.02%)
456.86            2 (0.02%)
456.87            2 (0.02%)
456.88            1 (0.01%)
456.89            1 (0.01%)
456.91            2 (0.02%)
456.92            1 (0.01%)
456.93            1 (0.01%)
456.94            1 (0.01%)
456.97            2 (0.02%)
456.98            1 (0.01%)
457.0             3 (0.03%)
457.01            4 (0.04%)
457.02            1 (0.01%)
457.03            1 (0.01%)
457.05            2 (0.02%)
457.07            2 (0.02%)
457.08            1 (0.01%)
457.09            4 (0.04%)
457.1             1 (0.01%)
457.11            2 (0.02%)
457.12            3 (0.03%)
457.14            2 (0.02%)
457.15            1 (0.01%)
457.16            1 (0.01%)
457.17            4 (0.04%)
457.21            1 (0.01%)
457.26            4 (0.04%)
457.28            2 (0.02%)
457.29            3 (0.03%)
457.3             1 (0.01%)
457.32            1 (0.01%)
457.33            1 (0.01%)
457.35            1 (0.01%)
457.36            1 (0.01%)
457.37            1 (0.01%)
457.4             1 (0.01%)
457.41            2 (0.02%)
457.42            1 (0.01%)
457.43            1 (0.01%)
457.44            2 (0.02%)
457.45            4 (0.04%)
457.46            1 (0.01%)
457.49            1 (0.01%)
457.5             1 (0.01%)
457.51            1 (0.01%)
457.53            3 (0.03%)
457.54            2 (0.02%)
457.55            2 (0.02%)
457.57            1 (0.01%)
457.58            1 (0.01%)
457.59            1 (0.01%)
457.6             1 (0.01%)
457.61            1 (0.01%)
457.64            1 (0.01%)
457.66            3 (0.03%)
457.67            2 (0.02%)
457.68            1 (0.01%)
457.7             1 (0.01%)
457.71            1 (0.01%)
457.72            2 (0.02%)
457.73            1 (0.01%)
457.74            5 (0.05%)
457.75            1 (0.01%)
457.76            1 (0.01%)
457.77            1 (0.01%)
457.8             3 (0.03%)
457.81            3 (0.03%)
457.83            1 (0.01%)
457.85            1 (0.01%)
457.88            1 (0.01%)
457.89            2 (0.02%)
457.9             1 (0.01%)
457.91            1 (0.01%)
457.92            2 (0.02%)
457.94            3 (0.03%)
457.98            3 (0.03%)
457.99            1 (0.01%)
458.01            1 (0.01%)
458.04            2 (0.02%)
458.05            1 (0.01%)
458.06            3 (0.03%)
458.07            1 (0.01%)
458.08            1 (0.01%)
458.09            1 (0.01%)
458.1             2 (0.02%)
458.12            1 (0.01%)
458.13            1 (0.01%)
458.15            1 (0.01%)
458.16            1 (0.01%)
458.18            1 (0.01%)
458.19            2 (0.02%)
458.21            1 (0.01%)
458.22            1 (0.01%)
458.25            2 (0.02%)
458.26            3 (0.03%)
458.27            1 (0.01%)
458.28            2 (0.02%)
458.29            2 (0.02%)
458.3             1 (0.01%)
458.31            3 (0.03%)
458.34            1 (0.01%)
458.36            1 (0.01%)
458.37            1 (0.01%)
458.4             1 (0.01%)
458.41            3 (0.03%)
458.42            2 (0.02%)
458.46            4 (0.04%)
458.47            2 (0.02%)
458.49            2 (0.02%)
458.5             2 (0.02%)
458.51            1 (0.01%)
458.53            1 (0.01%)
458.55            2 (0.02%)
458.56            1 (0.01%)
458.57            2 (0.02%)
458.58            1 (0.01%)
458.59            5 (0.05%)
458.6             2 (0.02%)
458.61            1 (0.01%)
458.62            1 (0.01%)
458.63            1 (0.01%)
458.64            2 (0.02%)
458.66            3 (0.03%)
458.67            6 (0.06%)
458.68            2 (0.02%)
458.69            1 (0.01%)
458.72            1 (0.01%)
458.73            1 (0.01%)
458.74            2 (0.02%)
458.75            3 (0.03%)
458.76            1 (0.01%)
458.78            2 (0.02%)
458.8             2 (0.02%)
458.82            1 (0.01%)
458.84            1 (0.01%)
458.85            2 (0.02%)
458.87            2 (0.02%)
458.91            1 (0.01%)
458.92            1 (0.01%)
458.93            1 (0.01%)
458.94            2 (0.02%)
458.96            2 (0.02%)
458.97            1 (0.01%)
458.99            1 (0.01%)
459.0             1 (0.01%)
459.01            3 (0.03%)
459.02            1 (0.01%)
459.04            1 (0.01%)
459.06            4 (0.04%)
459.09            1 (0.01%)
459.1             2 (0.02%)
459.11            1 (0.01%)
459.12            3 (0.03%)
459.13            1 (0.01%)
459.14            2 (0.02%)
459.15            2 (0.02%)
459.16            1 (0.01%)
459.18            1 (0.01%)
459.19            1 (0.01%)
459.23            1 (0.01%)
459.25            1 (0.01%)
459.26            1 (0.01%)
459.27            2 (0.02%)
459.31            3 (0.03%)
459.36            2 (0.02%)
459.37            1 (0.01%)
459.38            1 (0.01%)
459.39            2 (0.02%)
459.4             1 (0.01%)
459.42            2 (0.02%)
459.43            1 (0.01%)
459.45            2 (0.02%)
459.46            1 (0.01%)
459.47            2 (0.02%)
459.48            2 (0.02%)
459.52            1 (0.01%)
459.53            1 (0.01%)
459.59            3 (0.03%)
459.6             2 (0.02%)
459.61            1 (0.01%)
459.62            1 (0.01%)
459.63            2 (0.02%)
459.64            1 (0.01%)
459.65            2 (0.02%)
459.66            1 (0.01%)
459.67            1 (0.01%)
459.68            1 (0.01%)
459.69            3 (0.03%)
459.72            3 (0.03%)
459.73            3 (0.03%)
459.75            1 (0.01%)
459.76            3 (0.03%)
459.77            1 (0.01%)
459.78            2 (0.02%)
459.79            2 (0.02%)
459.8             1 (0.01%)
459.81            3 (0.03%)
459.83            2 (0.02%)
459.84            2 (0.02%)
459.85            3 (0.03%)
459.86            1 (0.01%)
459.87            2 (0.02%)
459.89            2 (0.02%)
459.9             1 (0.01%)
459.91            1 (0.01%)
459.94            1 (0.01%)
459.95            1 (0.01%)
459.96            2 (0.02%)
459.97            2 (0.02%)
459.98            1 (0.01%)
460.0             1 (0.01%)
460.01            2 (0.02%)
460.02            2 (0.02%)
460.03            3 (0.03%)
460.06            2 (0.02%)
460.07            2 (0.02%)
460.08            2 (0.02%)
460.09            1 (0.01%)
460.1             1 (0.01%)
460.11            1 (0.01%)
460.13            1 (0.01%)
460.14            3 (0.03%)
460.15            1 (0.01%)
460.16            1 (0.01%)
460.17            1 (0.01%)
460.18            1 (0.01%)
460.19            4 (0.04%)
460.2             4 (0.04%)
460.21            2 (0.02%)
460.22            1 (0.01%)
460.24            1 (0.01%)
460.25            2 (0.02%)
460.26            1 (0.01%)
460.27            1 (0.01%)
460.29            1 (0.01%)
460.3             2 (0.02%)
460.31            1 (0.01%)
460.32            1 (0.01%)
460.33            3 (0.03%)
460.34            1 (0.01%)
460.35            1 (0.01%)
460.38            2 (0.02%)
460.4             1 (0.01%)
460.41            2 (0.02%)
460.42            2 (0.02%)
460.43            2 (0.02%)
460.44            4 (0.04%)
460.45            2 (0.02%)
460.46            1 (0.01%)
460.47            2 (0.02%)
460.48            2 (0.02%)
460.49            1 (0.01%)
460.51            2 (0.02%)
460.53            1 (0.01%)
460.54            3 (0.03%)
460.56            2 (0.02%)
460.57            4 (0.04%)
460.58            2 (0.02%)
460.59            3 (0.03%)
460.6             2 (0.02%)
460.61            2 (0.02%)
460.63            1 (0.01%)
460.64            1 (0.01%)
460.66            2 (0.02%)
460.67            1 (0.01%)
460.68            1 (0.01%)
460.7             2 (0.02%)
460.72            1 (0.01%)
460.73            3 (0.03%)
460.75            2 (0.02%)
460.76            3 (0.03%)
460.77            1 (0.01%)
460.8             1 (0.01%)
460.81            1 (0.01%)
460.82            2 (0.02%)
460.84            2 (0.02%)
460.86            2 (0.02%)
460.87            2 (0.02%)
460.88            1 (0.01%)
460.91            2 (0.02%)
460.93            1 (0.01%)
460.94            1 (0.01%)
460.95            2 (0.02%)
460.97            2 (0.02%)
460.99            1 (0.01%)
461.0             1 (0.01%)
461.01            1 (0.01%)
461.02            1 (0.01%)
461.03            2 (0.02%)
461.05            1 (0.01%)
461.06            3 (0.03%)
461.07            3 (0.03%)
461.08            2 (0.02%)
461.09            1 (0.01%)
461.12            1 (0.01%)
461.13            1 (0.01%)
461.14            3 (0.03%)
461.15            2 (0.02%)
461.16            4 (0.04%)
461.18            1 (0.01%)
461.2             1 (0.01%)
461.21            2 (0.02%)
461.23            2 (0.02%)
461.25            1 (0.01%)
461.27            2 (0.02%)
461.29            1 (0.01%)
461.31            1 (0.01%)
461.33            1 (0.01%)
461.34            2 (0.02%)
461.35            1 (0.01%)
461.36            2 (0.02%)
461.37            1 (0.01%)
461.38            2 (0.02%)
461.39            1 (0.01%)
461.44            1 (0.01%)
461.45            1 (0.01%)
461.46            2 (0.02%)
461.47            1 (0.01%)
461.49            3 (0.03%)
461.5             1 (0.01%)
461.51            1 (0.01%)
461.52            1 (0.01%)
461.54            3 (0.03%)
461.55            2 (0.02%)
461.56            2 (0.02%)
461.57            1 (0.01%)
461.58            3 (0.03%)
461.6             2 (0.02%)
461.61            2 (0.02%)
461.62            1 (0.01%)
461.63            1 (0.01%)
461.64            1 (0.01%)
461.68            2 (0.02%)
461.69            1 (0.01%)
461.7             2 (0.02%)
461.71            2 (0.02%)
461.73            3 (0.03%)
461.74            2 (0.02%)
461.78            2 (0.02%)
461.8             1 (0.01%)
461.81            1 (0.01%)
461.82            1 (0.01%)
461.84            1 (0.01%)
461.86            1 (0.01%)
461.87            1 (0.01%)
461.88            2 (0.02%)
461.89            1 (0.01%)
461.9             2 (0.02%)
461.91            1 (0.01%)
461.93            1 (0.01%)
461.94            1 (0.01%)
461.96            5 (0.05%)
461.97            3 (0.03%)
461.98            1 (0.01%)
461.99            1 (0.01%)
462.01            1 (0.01%)
462.02            1 (0.01%)
462.03            1 (0.01%)
462.05            3 (0.03%)
462.07            2 (0.02%)
462.08            1 (0.01%)
462.09            3 (0.03%)
462.1             1 (0.01%)
462.11            2 (0.02%)
462.12            3 (0.03%)
462.13            2 (0.02%)
462.16            2 (0.02%)
462.18            2 (0.02%)
462.19            4 (0.04%)
462.2             1 (0.01%)
462.21            3 (0.03%)
462.22            1 (0.01%)
462.25            3 (0.03%)
462.26            2 (0.02%)
462.27            1 (0.01%)
462.28            4 (0.04%)
462.29            1 (0.01%)
462.3             2 (0.02%)
462.32            1 (0.01%)
462.33            1 (0.01%)
462.34            1 (0.01%)
462.35            1 (0.01%)
462.37            1 (0.01%)
462.38            1 (0.01%)
462.39            1 (0.01%)
462.4             3 (0.03%)
462.41            2 (0.02%)
462.42            1 (0.01%)
462.44            4 (0.04%)
462.46            2 (0.02%)
462.48            4 (0.04%)
462.49            1 (0.01%)
462.5             1 (0.01%)
462.51            3 (0.03%)
462.52            2 (0.02%)
462.53            1 (0.01%)
462.54            4 (0.04%)
462.55            3 (0.03%)
462.56            2 (0.02%)
462.57            1 (0.01%)
462.58            3 (0.03%)
462.59            4 (0.04%)
462.6             7 (0.07%)
462.63            2 (0.02%)
462.64            3 (0.03%)
462.65            3 (0.03%)
462.66            2 (0.02%)
462.67            3 (0.03%)
462.68            1 (0.01%)
462.69            4 (0.04%)
462.7             3 (0.03%)
462.72            4 (0.04%)
462.73            2 (0.02%)
462.74            1 (0.01%)
462.77            2 (0.02%)
462.78            2 (0.02%)
462.79            1 (0.01%)
462.8             2 (0.02%)
462.81            2 (0.02%)
462.83            1 (0.01%)
462.84            3 (0.03%)
462.86            3 (0.03%)
462.87            5 (0.05%)
462.88            2 (0.02%)
462.92            1 (0.01%)
462.94            3 (0.03%)
462.96            2 (0.02%)
462.98            1 (0.01%)
463.0             2 (0.02%)
463.02            1 (0.01%)
463.03            2 (0.02%)
463.04            1 (0.01%)
463.05            1 (0.01%)
463.06            4 (0.04%)
463.07            1 (0.01%)
463.08            1 (0.01%)
463.09            5 (0.05%)
463.1             4 (0.04%)
463.11            1 (0.01%)
463.12            1 (0.01%)
463.13            1 (0.01%)
463.14            2 (0.02%)
463.16            1 (0.01%)
463.17            2 (0.02%)
463.18            1 (0.01%)
463.2             3 (0.03%)
463.21            1 (0.01%)
463.22            2 (0.02%)
463.24            1 (0.01%)
463.26            1 (0.01%)
463.27            2 (0.02%)
463.28            2 (0.02%)
463.29            1 (0.01%)
463.3             2 (0.02%)
463.31            1 (0.01%)
463.32            2 (0.02%)
463.33            2 (0.02%)
463.34            1 (0.01%)
463.35            2 (0.02%)
463.36            1 (0.01%)
463.37            2 (0.02%)
463.38            1 (0.01%)
463.39            2 (0.02%)
463.4             3 (0.03%)
463.44            2 (0.02%)
463.46            2 (0.02%)
463.47            4 (0.04%)
463.48            1 (0.01%)
463.49            3 (0.03%)
463.5             3 (0.03%)
463.51            2 (0.02%)
463.52            1 (0.01%)
463.53            1 (0.01%)
463.54            1 (0.01%)
463.57            3 (0.03%)
463.58            2 (0.02%)
463.6             5 (0.05%)
463.61            2 (0.02%)
463.62            2 (0.02%)
463.63            1 (0.01%)
463.64            4 (0.04%)
463.65            3 (0.03%)
463.67            2 (0.02%)
463.68            1 (0.01%)
463.69            2 (0.02%)
463.7             1 (0.01%)
463.71            5 (0.05%)
463.72            2 (0.02%)
463.74            2 (0.02%)
463.75            1 (0.01%)
463.76            1 (0.01%)
463.77            2 (0.02%)
463.78            1 (0.01%)
463.79            2 (0.02%)
463.81            3 (0.03%)
463.82            2 (0.02%)
463.83            2 (0.02%)
463.86            4 (0.04%)
463.87            1 (0.01%)
463.88            2 (0.02%)
463.89            4 (0.04%)
463.9             2 (0.02%)
463.91            2 (0.02%)
463.92            1 (0.01%)
463.93            3 (0.03%)
463.96            1 (0.01%)
463.97            1 (0.01%)
463.98            1 (0.01%)
463.99            4 (0.04%)
464.0             2 (0.02%)
464.01            2 (0.02%)
464.02            2 (0.02%)
464.03            3 (0.03%)
464.05            1 (0.01%)
464.06            1 (0.01%)
464.07            4 (0.04%)
464.08            2 (0.02%)
464.09            1 (0.01%)
464.11            3 (0.03%)
464.12            4 (0.04%)
464.13            5 (0.05%)
464.14            5 (0.05%)
464.15            2 (0.02%)
464.16            2 (0.02%)
464.17            4 (0.04%)
464.18            3 (0.03%)
464.19            1 (0.01%)
464.2             1 (0.01%)
464.22            1 (0.01%)
464.23            3 (0.03%)
464.24            1 (0.01%)
464.25            3 (0.03%)
464.26            2 (0.02%)
464.27            5 (0.05%)
464.3             2 (0.02%)
464.31            1 (0.01%)
464.32            1 (0.01%)
464.33            2 (0.02%)
464.35            1 (0.01%)
464.36            3 (0.03%)
464.37            3 (0.03%)
464.38            2 (0.02%)
464.39            2 (0.02%)
464.4             1 (0.01%)
464.41            2 (0.02%)
464.42            1 (0.01%)
464.43            1 (0.01%)
464.44            3 (0.03%)
464.45            3 (0.03%)
464.46            2 (0.02%)
464.48            1 (0.01%)
464.49            1 (0.01%)
464.5             4 (0.04%)
464.51            1 (0.01%)
464.54            1 (0.01%)
464.55            1 (0.01%)
464.56            4 (0.04%)
464.57            2 (0.02%)
464.58            5 (0.05%)
464.59            3 (0.03%)
464.6             3 (0.03%)
464.61            1 (0.01%)
464.62            3 (0.03%)
464.63            3 (0.03%)
464.64            2 (0.02%)
464.65            1 (0.01%)
464.66            1 (0.01%)
464.67            3 (0.03%)
464.68            2 (0.02%)
464.69            1 (0.01%)
464.7             6 (0.06%)
464.71            1 (0.01%)
464.72            3 (0.03%)
464.73            1 (0.01%)
464.74            1 (0.01%)
464.76            1 (0.01%)
464.77            1 (0.01%)
464.78            1 (0.01%)
464.79            3 (0.03%)
464.81            2 (0.02%)
464.82            2 (0.02%)
464.84            1 (0.01%)
464.85            2 (0.02%)
464.86            4 (0.04%)
464.87            1 (0.01%)
464.88            2 (0.02%)
464.9             2 (0.02%)
464.91            3 (0.03%)
464.93            5 (0.05%)
464.94            1 (0.01%)
464.95            5 (0.05%)
464.98            1 (0.01%)
464.99            1 (0.01%)
465.0             2 (0.02%)
465.01            2 (0.02%)
465.03            2 (0.02%)
465.05            4 (0.04%)
465.06            1 (0.01%)
465.07            1 (0.01%)
465.08            1 (0.01%)
465.09            4 (0.04%)
465.13            2 (0.02%)
465.14            4 (0.04%)
465.15            2 (0.02%)
465.16            3 (0.03%)
465.17            1 (0.01%)
465.2             3 (0.03%)
465.22            2 (0.02%)
465.23            2 (0.02%)
465.24            5 (0.05%)
465.25            3 (0.03%)
465.26            3 (0.03%)
465.28            2 (0.02%)
465.29            2 (0.02%)
465.3             1 (0.01%)
465.31            1 (0.01%)
465.32            2 (0.02%)
465.33            1 (0.01%)
465.35            2 (0.02%)
465.36            2 (0.02%)
465.37            2 (0.02%)
465.38            1 (0.01%)
465.39            1 (0.01%)
465.41            2 (0.02%)
465.42            3 (0.03%)
465.43            1 (0.01%)
465.44            1 (0.01%)
465.45            2 (0.02%)
465.46            2 (0.02%)
465.47            1 (0.01%)
465.48            2 (0.02%)
465.49            2 (0.02%)
465.5             3 (0.03%)
465.51            2 (0.02%)
465.52            1 (0.01%)
465.53            1 (0.01%)
465.54            1 (0.01%)
465.56            1 (0.01%)
465.57            3 (0.03%)
465.58            2 (0.02%)
465.6             3 (0.03%)
465.61            4 (0.04%)
465.62            2 (0.02%)
465.63            2 (0.02%)
465.64            4 (0.04%)
465.65            1 (0.01%)
465.66            1 (0.01%)
465.67            1 (0.01%)
465.68            1 (0.01%)
465.69            2 (0.02%)
465.7             2 (0.02%)
465.72            3 (0.03%)
465.73            2 (0.02%)
465.74            5 (0.05%)
465.75            2 (0.02%)
465.76            1 (0.01%)
465.77            2 (0.02%)
465.78            4 (0.04%)
465.79            1 (0.01%)
465.8             1 (0.01%)
